1.1256,6.9818
0.31277,7.0016
0.09393,7.0054
0.81296,7.0117
-0.031119,7.0221
-0.1718,7.0391
1.0005,6.9816
0.48471,7.0168
-0.24996,7.033
1.0631,6.977
1.11,6.9795
1.1725,6.9881
0.65665,7.0225
0.21898,6.9993
0.047037,7.0099
0.96927,6.9901
0.51597,7.0157
0.43782,7.01
-0.062381,7.0265
0.73481,7.022
0.26587,6.9974
0.54723,7.0187
1.0787,6.9786
0.14082,7.0016
0.84423,7.0079
0.40655,7.0073
0.59413,7.0208
-0.23432,7.0375
-0.28122,7.0271
1.0318,6.9803
1.1412,6.9843
0.62539,7.0232
-0.04675,7.0262
0.078299,7.0073
0.93801,6.9947
0.50034,7.0155
0.00014322,7.0172
0.23461,6.9986
1.0162,6.981
0.7817,7.0159
0.3284,7.003
-0.093644,7.0317
0.92238,6.9965
0.87549,7.0034
-0.18743,7.0396
0.67228,7.0237
-0.078013,7.0307
-0.15617,7.0393
-0.20306,7.0395
0.10956,7.005
0.34403,7.0003
0.20335,6.9988
0.71918,7.0234
0.25024,6.9999
-0.015488,7.0206
0.75044,7.0186
0.35966,7.0021
0.46908,7.0134
0.98491,6.9864
0.18772,6.9954
0.031406,7.0116
1.1881,6.9962
0.95364,6.9915
0.90675,6.9986
-0.29685,7.0193
0.70355,7.0225
0.015774,7.0151
0.76607,7.02
0.45345,7.0131
1.0943,6.9782
1.2037,7.002
0.5785,7.0224
-0.10927,7.0334
-0.21869,7.0361
0.37529,7.0056
0.17209,7.0011
0.85986,7.0046
-0.34374,6.9988
-0.14054,7.0363
0.42218,7.0074
0.68791,7.0223
0.82859,7.0103
-0.12491,7.0352
0.5316,7.019
0.39092,7.0077
0.2815,7.0002
0.60976,7.0221
0.12519,7.0029
1.1568,6.9851
0.15645,6.9997
0.64102,7.0232
0.062668,7.0096
-0.31248,7.015
-0.32811,7.0063
0.56286,7.0207
-0.26559,7.0309
0.79733,7.0153
1.0474,6.9798
0.29714,7
0.89112,6.9981
